Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Crime_type,Crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Contra As Pessoas,19.0,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Contra O Patrimonio,49.0,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Contra A Vida Em Sociedade,15.0,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Contra O Estado,,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,"Contra A Identidade Cultural, Integridade Pessoal",,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Contra Animais Companhia,0.0,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Legislacao Avulsa E Outros,,4.2,0.8
2024.0,Alcoutim,2401.0,24.1,0.0,2.5,33.0,1145.8,2.0,Total,99.0,4.2,0.8
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Contra As Pessoas,317.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Contra O Patrimonio,612.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Contra A Vida Em Sociedade,184.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Contra O Estado,42.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Contra Animais Companhia,6.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Legislacao Avulsa E Outros,151.0,3.9,1.5
2024.0,Alenquer,49474.0,9.4,6.8,9.0,1371.0,1382.7,13.0,Total,1314.0,3.9,1.5
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Contra As Pessoas,34.0,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Contra O Patrimonio,44.0,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Contra A Vida Em Sociedade,22.0,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Contra O Estado,5.0,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Contra Animais Companhia,,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Legislacao Avulsa E Outros,,1.4,1.9
2024.0,Alfandega Da Fe,4178.0,18.3,0.0,2.6,211.0,1002.3,2.0,Total,110.0,1.4,1.9
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Contra As Pessoas,88.0,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Contra O Patrimonio,96.0,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Contra A Vida Em Sociedade,32.0,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Contra O Estado,,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Contra Animais Companhia,,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Legislacao Avulsa E Outros,8.0,1.2,1.1
2024.0,Alijo,10296.0,13.7,20.0,4.8,507.0,1107.7,8.0,Total,229.0,1.2,1.1
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Contra As Pessoas,100.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Contra O Patrimonio,184.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Contra A Vida Em Sociedade,35.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Contra O Estado,10.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,"Contra A Identidade Cultural, Integridade Pessoal",,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Contra Animais Companhia,4.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Legislacao Avulsa E Outros,21.0,8.7,1.6
2024.0,Aljezur,6501.0,12.3,0.0,9.0,200.0,1093.1,3.0,Total,354.0,8.7,1.6
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Contra As Pessoas,88.0,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Contra O Patrimonio,149.0,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Contra A Vida Em Sociedade,52.0,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Contra O Estado,,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Contra Animais Companhia,,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Legislacao Avulsa E Outros,13.0,1.3,1.1
2024.0,Aljustrel,8923.0,15.1,0.0,8.3,245.0,1473.4,5.0,Total,307.0,1.3,1.1
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Contra As Pessoas,1752.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Contra O Patrimonio,4589.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Contra A Vida Em Sociedade,484.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Contra O Estado,71.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,"Contra A Identidade Cultural, Integridade Pessoal",11.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Contra Animais Companhia,46.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Legislacao Avulsa E Outros,486.0,2.2,1.6
2024.0,Almada,183643.0,11.8,9.3,9.5,5578.0,1354.3,49.0,Total,7439.0,2.2,1.6
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Contra As Pessoas,73.0,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Contra O Patrimonio,113.0,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Contra A Vida Em Sociedade,66.0,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Contra O Estado,,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,"Contra A Identidade Cultural, Integridade Pessoal",,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Contra Animais Companhia,,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Legislacao Avulsa E Outros,24.0,0.9,0.4
2024.0,Almeida,5634.0,25.1,0.0,3.0,83.0,1083.5,2.0,Total,280.0,0.9,0.4
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Contra As Pessoas,213.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Contra O Patrimonio,417.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Contra A Vida Em Sociedade,140.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Contra O Estado,10.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,"Contra A Identidade Cultural, Integridade Pessoal",3.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Contra Animais Companhia,5.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Legislacao Avulsa E Outros,107.0,3.7,1.7
2024.0,Almeirim,23087.0,14.8,6.1,7.1,571.0,1235.1,7.0,Total,895.0,3.7,1.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Contra As Pessoas,55.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Contra O Patrimonio,95.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Contra A Vida Em Sociedade,18.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Contra O Estado,3.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,"Contra A Identidade Cultural, Integridade Pessoal",3.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Contra Animais Companhia,12.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Legislacao Avulsa E Outros,10.0,3.1,0.7
2024.0,Almodovar,6652.0,20.2,0.0,6.0,134.0,1117.8,2.0,Total,196.0,3.1,0.7
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Contra As Pessoas,91.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Contra O Patrimonio,129.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Contra A Vida Em Sociedade,84.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Contra O Estado,12.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Contra Animais Companhia,0.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Legislacao Avulsa E Outros,23.0,2.6,1.4
2024.0,Alpiarca,7493.0,14.8,0.0,8.2,173.0,1154.9,3.0,Total,340.0,2.6,1.4
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Contra As Pessoas,46.0,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Contra O Patrimonio,56.0,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Contra A Vida Em Sociedade,,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Contra O Estado,0.0,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Contra Animais Companhia,,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Legislacao Avulsa E Outros,,3.7,0.0
2024.0,Alter Do Chao,3222.0,21.2,0.0,5.3,123.0,1103.3,4.0,Total,112.0,3.7,0.0
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Contra As Pessoas,45.0,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Contra O Patrimonio,76.0,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Contra A Vida Em Sociedade,21.0,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Contra O Estado,,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Contra Animais Companhia,0.0,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Legislacao Avulsa E Outros,,3.0,1.4
2024.0,Alvaiazere,6479.0,15.4,0.0,5.5,113.0,1135.6,4.0,Total,148.0,3.0,1.4
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Contra As Pessoas,24.0,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Contra O Patrimonio,60.0,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Contra A Vida Em Sociedade,13.0,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Contra O Estado,,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,"Contra A Identidade Cultural, Integridade Pessoal",,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Contra Animais Companhia,,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Legislacao Avulsa E Outros,,5.2,1.3
2024.0,Alvito,2303.0,19.6,45.5,9.6,74.0,1266.0,2.0,Total,107.0,5.2,1.3
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Contra As Pessoas,1507.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Contra O Patrimonio,2530.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Contra A Vida Em Sociedade,472.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Contra O Estado,180.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,"Contra A Identidade Cultural, Integridade Pessoal",7.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Contra Animais Companhia,17.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Legislacao Avulsa E Outros,528.0,1.0,1.6
2024.0,Amadora,181607.0,9.4,5.6,11.8,4895.0,1734.8,42.0,Total,5241.0,1.0,1.6
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Contra As Pessoas,370.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Contra O Patrimonio,398.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Contra A Vida Em Sociedade,159.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Contra O Estado,22.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,"Contra A Identidade Cultural, Integridade Pessoal",3.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Contra Animais Companhia,5.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Legislacao Avulsa E Outros,77.0,4.1,2.0
2024.0,Amarante,52169.0,11.0,3.4,5.7,1940.0,1133.8,14.0,Total,1034.0,4.1,2.0
2024.0,Amares,19782.0,10.1,0.0,6.5,515.0,1152.4,4.0,Contra As Pessoas,123.0,3.5,1.4
2024.0,Amares,19782.0,10.1,0.0,6.5,515.0,1152.4,4.0,Contra O Patrimonio,143.0,3.5,1.4
