Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Crime_type,Total_crimes,Marriages_per_1000,Divorces_per_1000
2011.0,Abrantes,38856.0,14.3,4.3,5.9,2284.0,969.7,15.0,Total,1038.0,2.3,2.0
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Contra As Pessoas,267.0,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Contra O Patrimonio,528.0,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Contra A Vida Em Sociedade,157.0,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Contra O Estado,12.0,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Contra Animais Companhia,,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Legislacao Avulsa E Outros,51.0,1.7,2.4
2012.0,Abrantes,38264.0,15.6,4.2,6.2,2686.0,975.8,15.0,Total,1015.0,1.7,2.4
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Contra As Pessoas,198.0,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Contra O Patrimonio,461.0,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Contra A Vida Em Sociedade,142.0,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Contra O Estado,19.0,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Contra Animais Companhia,,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Legislacao Avulsa E Outros,63.0,1.9,1.3
2013.0,Abrantes,37676.0,14.9,0.0,5.6,2649.0,1000.8,15.0,Total,883.0,1.9,1.3
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Contra As Pessoas,228.0,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Contra O Patrimonio,377.0,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Contra A Vida Em Sociedade,113.0,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Contra O Estado,17.0,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Contra Animais Companhia,,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Legislacao Avulsa E Outros,55.0,2.8,1.8
2014.0,Abrantes,37162.0,13.7,0.0,6.4,2340.0,1016.3,15.0,Total,790.0,2.8,1.8
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Contra As Pessoas,240.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Contra O Patrimonio,346.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Contra A Vida Em Sociedade,129.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Contra O Estado,13.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Contra Animais Companhia,3.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Legislacao Avulsa E Outros,35.0,2.1,1.3
2015.0,Abrantes,36658.0,15.1,0.0,6.2,2039.0,997.2,15.0,Total,766.0,2.1,1.3
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Contra As Pessoas,240.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Contra O Patrimonio,325.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Contra A Vida Em Sociedade,108.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Contra O Estado,11.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Contra Animais Companhia,7.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Legislacao Avulsa E Outros,28.0,1.8,1.9
2016.0,Abrantes,36183.0,14.4,19.0,5.8,1867.0,1007.7,15.0,Total,719.0,1.8,1.9
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Contra As Pessoas,225.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Contra O Patrimonio,309.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Contra A Vida Em Sociedade,182.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Contra O Estado,7.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Contra Animais Companhia,10.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Legislacao Avulsa E Outros,30.0,2.1,1.8
2017.0,Abrantes,35691.0,15.0,9.6,5.8,1638.0,1048.2,15.0,Total,763.0,2.1,1.8
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Contra As Pessoas,268.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Contra O Patrimonio,344.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Contra A Vida Em Sociedade,153.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Contra O Estado,17.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Contra Animais Companhia,7.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Legislacao Avulsa E Outros,49.0,2.4,1.4
2018.0,Abrantes,35234.0,15.3,0.0,5.9,1409.0,1084.8,15.0,Total,838.0,2.4,1.4
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Contra As Pessoas,244.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Contra O Patrimonio,320.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Contra A Vida Em Sociedade,123.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Contra O Estado,15.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Contra Animais Companhia,5.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Legislacao Avulsa E Outros,55.0,2.3,2.3
2019.0,Abrantes,34931.0,15.1,5.0,5.7,1358.0,1109.4,15.0,Total,762.0,2.3,2.3
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Contra As Pessoas,220.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Contra O Patrimonio,304.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Contra A Vida Em Sociedade,103.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Contra O Estado,13.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Contra Animais Companhia,5.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Legislacao Avulsa E Outros,28.0,1.4,1.9
2020.0,Abrantes,34558.0,17.4,0.0,5.7,1513.0,1165.5,15.0,Total,673.0,1.4,1.9
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Contra As Pessoas,184.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Contra O Patrimonio,242.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Contra A Vida Em Sociedade,75.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Contra O Estado,15.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Contra Animais Companhia,11.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Legislacao Avulsa E Outros,40.0,2.1,1.5
2021.0,Abrantes,34172.0,17.9,12.0,4.8,1324.0,1167.8,15.0,Total,568.0,2.1,1.5
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Contra As Pessoas,255.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Contra O Patrimonio,349.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Contra A Vida Em Sociedade,122.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Contra O Estado,7.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Contra Animais Companhia,6.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Legislacao Avulsa E Outros,46.0,2.5,1.7
2022.0,Abrantes,33858.0,18.8,0.0,5.8,1195.0,1204.7,15.0,Total,785.0,2.5,1.7
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Contra As Pessoas,264.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Contra O Patrimonio,436.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Contra A Vida Em Sociedade,101.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Contra O Estado,12.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Contra Animais Companhia,5.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Legislacao Avulsa E Outros,30.0,2.4,1.4
2023.0,Abrantes,33811.0,18.1,0.0,6.1,1140.0,1289.0,15.0,Total,848.0,2.4,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra As Pessoas,217.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra O Patrimonio,473.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra A Vida Em Sociedade,106.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra O Estado,7.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Contra Animais Companhia,6.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Legislacao Avulsa E Outros,31.0,2.6,1.4
2024.0,Abrantes,33770.0,16.5,0.0,7.0,1328.0,1289.0,15.0,Total,840.0,2.6,1.4
2006.0,Agueda,48568.0,9.1,2.6,8.0,,803.8,13.0,,,4.9,2.1
2007.0,Agueda,48399.0,9.8,0.0,8.5,,815.9,13.0,,,4.8,2.6
2008.0,Agueda,48223.0,9.5,0.0,8.9,,854.9,13.0,,,4.5,2.7
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Contra As Pessoas,449.0,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Contra O Patrimonio,1108.0,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Contra A Vida Em Sociedade,153.0,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Contra O Estado,31.0,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Contra Animais Companhia,,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Legislacao Avulsa E Outros,89.0,4.0,2.9
2009.0,Agueda,47962.0,9.6,6.1,6.9,2084.0,874.6,14.0,Total,1830.0,4.0,2.9
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Contra As Pessoas,427.0,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Contra O Patrimonio,900.0,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Contra A Vida Em Sociedade,165.0,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Contra O Estado,23.0,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Contra Animais Companhia,,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Legislacao Avulsa E Outros,103.0,3.6,2.6
2010.0,Agueda,47787.0,8.7,2.4,8.5,2147.0,911.5,14.0,Total,1618.0,3.6,2.6
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Contra As Pessoas,365.0,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Contra O Patrimonio,813.0,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Contra A Vida Em Sociedade,242.0,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Contra O Estado,21.0,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,"Contra A Identidade Cultural, Integridade Pessoal",,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Contra Animais Companhia,,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Legislacao Avulsa E Outros,94.0,3.1,2.7
2011.0,Agueda,47757.0,10.0,2.7,7.7,2045.0,920.0,15.0,Total,1535.0,3.1,2.7
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Contra As Pessoas,404.0,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Contra O Patrimonio,924.0,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Contra A Vida Em Sociedade,300.0,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Contra O Estado,35.0,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Contra Animais Companhia,,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Legislacao Avulsa E Outros,115.0,2.8,2.2
2012.0,Agueda,47408.0,10.4,2.7,7.9,2581.0,925.6,14.0,Total,1778.0,2.8,2.2
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Contra As Pessoas,463.0,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Contra O Patrimonio,848.0,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Contra A Vida Em Sociedade,223.0,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Contra O Estado,29.0,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Contra Animais Companhia,,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Legislacao Avulsa E Outros,94.0,2.9,1.8
2013.0,Agueda,46999.0,10.4,3.1,6.9,2719.0,931.4,14.0,Total,1657.0,2.9,1.8
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Contra As Pessoas,439.0,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Contra O Patrimonio,733.0,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Contra A Vida Em Sociedade,144.0,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Contra O Estado,22.0,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Contra Animais Companhia,,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Legislacao Avulsa E Outros,53.0,2.4,2.2
2014.0,Agueda,46654.0,9.6,0.0,6.7,2227.0,936.4,14.0,Total,1392.0,2.4,2.2
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Contra As Pessoas,330.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Contra O Patrimonio,632.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Contra A Vida Em Sociedade,208.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Contra O Estado,14.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Contra Animais Companhia,6.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Legislacao Avulsa E Outros,115.0,2.8,2.4
2015.0,Agueda,46423.0,10.2,6.1,7.0,1971.0,947.8,13.0,Total,1305.0,2.8,2.4
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Contra As Pessoas,292.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Contra O Patrimonio,577.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Contra A Vida Em Sociedade,155.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Contra O Estado,36.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Contra Animais Companhia,10.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Legislacao Avulsa E Outros,95.0,2.7,2.1
2016.0,Agueda,46214.0,10.3,2.9,7.5,1574.0,960.0,13.0,Total,1165.0,2.7,2.1
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Contra As Pessoas,340.0,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Contra O Patrimonio,567.0,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Contra A Vida Em Sociedade,234.0,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Contra O Estado,26.0,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Contra Animais Companhia,,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Legislacao Avulsa E Outros,69.0,2.8,2.2
2017.0,Agueda,46108.0,11.0,2.8,7.6,1281.0,988.6,14.0,Total,1238.0,2.8,2.2
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Contra As Pessoas,329.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Contra O Patrimonio,525.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Contra A Vida Em Sociedade,198.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Contra O Estado,23.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,"Contra A Identidade Cultural, Integridade Pessoal",,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Contra Animais Companhia,4.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Legislacao Avulsa E Outros,58.0,2.8,2.1
2018.0,Agueda,45946.0,10.8,0.0,6.3,883.0,1031.6,14.0,Total,1137.0,2.8,2.1
2019.0,Agueda,46193.0,9.6,5.5,7.8,866.0,1071.4,14.0,Contra As Pessoas,430.0,2.4,2.1
